ID	X	Y	Z
1	421000	391166.6667	1454
2	421166.6667	391166.6667	1459
3	421333.3333	391166.6667	1465
4	421500	391166.6667	1461
5	421666.6667	391166.6667	1467
6	421833.3333	391166.6667	1461
7	422000	391166.6667	1461
8	422166.6667	391166.6667	1469
9	422333.3333	391166.6667	1479
10	422500	391166.6667	1486
11	422666.6667	391166.6667	1488
12	422833.3333	391166.6667	1498
13	423000	391166.6667	1506
14	423166.6667	391166.6667	1512
15	423333.3333	391166.6667	1523
16	423500	391166.6667	1543
17	423666.6667	391166.6667	1551
18	423833.3333	391166.6667	1567
19	424000	391166.6667	1587
20	424166.6667	391166.6667	1620
21	424333.3333	391166.6667	1637
22	424500	391166.6667	1630
23	424666.6667	391166.6667	1578
24	424833.3333	391166.6667	1560
25	425000	391166.6667	1562
26	425166.6667	391166.6667	1578
27	425333.3333	391166.6667	1587
28	425500	391166.6667	1594
29	425666.6667	391166.6667	1600
30	425833.3333	391166.6667	1609
31	426000	391166.6667	1608
32	426166.6667	391166.6667	1617
33	426333.3333	391166.6667	1619
34	426500	391166.6667	1628
35	426666.6667	391166.6667	1639
36	426833.3333	391166.6667	1638
37	427000	391166.6667	1637
38	427166.6667	391166.6667	1632
39	427333.3333	391166.6667	1633
40	427500	391166.6667	1652
41	427666.6667	391166.6667	1680
42	427833.3333	391166.6667	1687
43	428000	391166.6667	1675
44	428166.6667	391166.6667	1688
45	428333.3333	391166.6667	1720
46	428500	391166.6667	1737
47	428666.6667	391166.6667	1766
48	428833.3333	391166.6667	1821
49	429000	391166.6667	1842
50	429166.6667	391166.6667	1839
51	429333.3333	391166.6667	1824
52	429500	391166.6667	1788
53	429666.6667	391166.6667	1776
54	429833.3333	391166.6667	1768
55	430000	391166.6667	1771
56	430166.6667	391166.6667	1781
57	430333.3333	391166.6667	1861
58	430500	391166.6667	1956
59	430666.6667	391166.6667	2015
60	430833.3333	391166.6667	2014
61	431000	391166.6667	2099
62	431166.6667	391166.6667	2101
63	431333.3333	391166.6667	1981
64	431500	391166.6667	1884
65	431666.6667	391166.6667	1842
66	431833.3333	391166.6667	1848
67	432000	391166.6667	1846
68	432166.6667	391166.6667	1828
69	432333.3333	391166.6667	1816
70	432500	391166.6667	1809
71	432666.6667	391166.6667	1807
72	432833.3333	391166.6667	1789
73	433000	391166.6667	1797
74	433166.6667	391166.6667	1796
75	433333.3333	391166.6667	1781
76	433500	391166.6667	1835
77	433666.6667	391166.6667	1889
78	433833.3333	391166.6667	1955
79	434000	391166.6667	2014
80	434166.6667	391166.6667	2057
81	434333.3333	391166.6667	2070
82	434500	391166.6667	2031
83	434666.6667	391166.6667	2023
84	434833.3333	391166.6667	2043
85	435000	391166.6667	2074
86	435166.6667	391166.6667	2134
87	435333.3333	391166.6667	2096
88	435500	391166.6667	2060
89	435666.6667	391166.6667	2227
90	435833.3333	391166.6667	2290
91	436000	391166.6667	2379
92	436166.6667	391166.6667	2384
93	436333.3333	391166.6667	2423
94	436500	391166.6667	2457
95	436666.6667	391166.6667	2455
96	436833.3333	391166.6667	2360
97	437000	391166.6667	2263
98	437166.6667	391166.6667	2137
99	437333.3333	391166.6667	2092
100	437500	391166.6667	2073
101	437666.6667	391166.6667	2078
102	437833.3333	391166.6667	2147
103	438000	391166.6667	2161
104	438166.6667	391166.6667	2143
105	421000	391000	1565
106	421166.6667	391000	1525
107	421333.3333	391000	1503
108	421500	391000	1487
109	421666.6667	391000	1476
110	421833.3333	391000	1467
111	422000	391000	1460
112	422166.6667	391000	1463
113	422333.3333	391000	1467
114	422500	391000	1475
115	422666.6667	391000	1478
116	422833.3333	391000	1480
117	423000	391000	1491
118	423166.6667	391000	1504
119	423333.3333	391000	1512
120	423500	391000	1524
121	423666.6667	391000	1552
122	423833.3333	391000	1587
123	424000	391000	1621
124	424166.6667	391000	1641
125	424333.3333	391000	1644
126	424500	391000	1633
127	424666.6667	391000	1610
128	424833.3333	391000	1579
129	425000	391000	1583
130	425166.6667	391000	1589
131	425333.3333	391000	1601
132	425500	391000	1617
133	425666.6667	391000	1623
134	425833.3333	391000	1622
135	426000	391000	1624
136	426166.6667	391000	1625
137	426333.3333	391000	1629
138	426500	391000	1645
139	426666.6667	391000	1657
140	426833.3333	391000	1656
141	427000	391000	1656
142	427166.6667	391000	1664
143	427333.3333	391000	1666
144	427500	391000	1681
145	427666.6667	391000	1708
146	427833.3333	391000	1717
147	428000	391000	1713
148	428166.6667	391000	1785
149	428333.3333	391000	1818
150	428500	391000	1812
151	428666.6667	391000	1848
152	428833.3333	391000	1864
153	429000	391000	1826
154	429166.6667	391000	1799
155	429333.3333	391000	1784
156	429500	391000	1781
157	429666.6667	391000	1790
158	429833.3333	391000	1779
159	430000	391000	1780
160	430166.6667	391000	1834
161	430333.3333	391000	1860
162	430500	391000	1909
163	430666.6667	391000	1980
164	430833.3333	391000	2068
165	431000	391000	2145
166	431166.6667	391000	2204
167	431333.3333	391000	2225
168	431500	391000	2014
169	431666.6667	391000	1827
170	431833.3333	391000	1787
171	432000	391000	1787
172	432166.6667	391000	1780
173	432333.3333	391000	1772
174	432500	391000	1760
175	432666.6667	391000	1753
176	432833.3333	391000	1752
177	433000	391000	1757
178	433166.6667	391000	1741
179	433333.3333	391000	1762
180	433500	391000	1804
181	433666.6667	391000	1856
182	433833.3333	391000	1923
183	434000	391000	1987
184	434166.6667	391000	2065
185	434333.3333	391000	2068
186	434500	391000	2001
187	434666.6667	391000	1973
188	434833.3333	391000	1962
189	435000	391000	1955
190	435166.6667	391000	1958
191	435333.3333	391000	2028
192	435500	391000	2136
193	435666.6667	391000	2234
194	435833.3333	391000	2314
195	436000	391000	2410
196	436166.6667	391000	2514
197	436333.3333	391000	2536
198	436500	391000	2496
199	436666.6667	391000	2465
200	436833.3333	391000	2382
201	437000	391000	2232
202	437166.6667	391000	2195
203	437333.3333	391000	2163
204	437500	391000	2032
205	437666.6667	391000	1965
206	437833.3333	391000	1992
207	438000	391000	2039
208	438166.6667	391000	2018
209	421000	390833.3333	1647
210	421166.6667	390833.3333	1574
211	421333.3333	390833.3333	1533
212	421500	390833.3333	1527
213	421666.6667	390833.3333	1521
214	421833.3333	390833.3333	1497
215	422000	390833.3333	1469
216	422166.6667	390833.3333	1466
217	422333.3333	390833.3333	1464
218	422500	390833.3333	1479
219	422666.6667	390833.3333	1549
220	422833.3333	390833.3333	1520
221	423000	390833.3333	1495
222	423166.6667	390833.3333	1510
223	423333.3333	390833.3333	1527
224	423500	390833.3333	1524
225	423666.6667	390833.3333	1555
226	423833.3333	390833.3333	1581
227	424000	390833.3333	1599
228	424166.6667	390833.3333	1605
229	424333.3333	390833.3333	1605
230	424500	390833.3333	1595
231	424666.6667	390833.3333	1589
232	424833.3333	390833.3333	1589
233	425000	390833.3333	1591
234	425166.6667	390833.3333	1599
235	425333.3333	390833.3333	1608
236	425500	390833.3333	1618
237	425666.6667	390833.3333	1635
238	425833.3333	390833.3333	1648
239	426000	390833.3333	1654
240	426166.6667	390833.3333	1672
241	426333.3333	390833.3333	1693
242	426500	390833.3333	1734
243	426666.6667	390833.3333	1760
244	426833.3333	390833.3333	1725
245	427000	390833.3333	1729
246	427166.6667	390833.3333	1739
247	427333.3333	390833.3333	1728
248	427500	390833.3333	1721
249	427666.6667	390833.3333	1738
250	427833.3333	390833.3333	1760
251	428000	390833.3333	1816
252	428166.6667	390833.3333	1890
253	428333.3333	390833.3333	1926
254	428500	390833.3333	1887
255	428666.6667	390833.3333	1870
256	428833.3333	390833.3333	1835
257	429000	390833.3333	1806
258	429166.6667	390833.3333	1793
259	429333.3333	390833.3333	1791
260	429500	390833.3333	1788
261	429666.6667	390833.3333	1784
262	429833.3333	390833.3333	1788
263	430000	390833.3333	1818
264	430166.6667	390833.3333	1862
265	430333.3333	390833.3333	1954
266	430500	390833.3333	2010
267	430666.6667	390833.3333	2068
268	430833.3333	390833.3333	2136
269	431000	390833.3333	2155
270	431166.6667	390833.3333	2173
271	431333.3333	390833.3333	2187
272	431500	390833.3333	2182
273	431666.6667	390833.3333	2080
274	431833.3333	390833.3333	1863
275	432000	390833.3333	1759
276	432166.6667	390833.3333	1748
277	432333.3333	390833.3333	1746
278	432500	390833.3333	1746
279	432666.6667	390833.3333	1738
280	432833.3333	390833.3333	1733
281	433000	390833.3333	1724
282	433166.6667	390833.3333	1707
283	433333.3333	390833.3333	1738
284	433500	390833.3333	1779
285	433666.6667	390833.3333	1848
286	433833.3333	390833.3333	1876
287	434000	390833.3333	1911
288	434166.6667	390833.3333	1944
289	434333.3333	390833.3333	1949
290	434500	390833.3333	1943
291	434666.6667	390833.3333	1939
292	434833.3333	390833.3333	1932
293	435000	390833.3333	1934
294	435166.6667	390833.3333	1945
295	435333.3333	390833.3333	1970
296	435500	390833.3333	2068
297	435666.6667	390833.3333	2203
298	435833.3333	390833.3333	2338
299	436000	390833.3333	2490
300	436166.6667	390833.3333	2571
301	436333.3333	390833.3333	2527
302	436500	390833.3333	2475
303	436666.6667	390833.3333	2385
304	436833.3333	390833.3333	2379
305	437000	390833.3333	2272
306	437166.6667	390833.3333	2168
307	437333.3333	390833.3333	2072
308	437500	390833.3333	1993
309	437666.6667	390833.3333	1931
310	437833.3333	390833.3333	1992
311	438000	390833.3333	1983
312	438166.6667	390833.3333	1986
313	421000	390666.6667	1622
314	421166.6667	390666.6667	1636
315	421333.3333	390666.6667	1607
316	421500	390666.6667	1611
317	421666.6667	390666.6667	1626
318	421833.3333	390666.6667	1629
319	422000	390666.6667	1592
320	422166.6667	390666.6667	1648
321	422333.3333	390666.6667	1538
322	422500	390666.6667	1543
323	422666.6667	390666.6667	1609
324	422833.3333	390666.6667	1645
325	423000	390666.6667	1615
326	423166.6667	390666.6667	1527
327	423333.3333	390666.6667	1558
328	423500	390666.6667	1545
329	423666.6667	390666.6667	1551
330	423833.3333	390666.6667	1561
331	424000	390666.6667	1571
332	424166.6667	390666.6667	1578
333	424333.3333	390666.6667	1585
334	424500	390666.6667	1592
335	424666.6667	390666.6667	1600
336	424833.3333	390666.6667	1608
337	425000	390666.6667	1613
338	425166.6667	390666.6667	1619
339	425333.3333	390666.6667	1624
340	425500	390666.6667	1630
341	425666.6667	390666.6667	1648
342	425833.3333	390666.6667	1685
343	426000	390666.6667	1709
344	426166.6667	390666.6667	1740
345	426333.3333	390666.6667	1753
346	426500	390666.6667	1766
347	426666.6667	390666.6667	1793
348	426833.3333	390666.6667	1789
349	427000	390666.6667	1788
350	427166.6667	390666.6667	1775
351	427333.3333	390666.6667	1764
352	427500	390666.6667	1755
353	427666.6667	390666.6667	1761
354	427833.3333	390666.6667	1775
355	428000	390666.6667	1808
356	428166.6667	390666.6667	1871
357	428333.3333	390666.6667	1862
358	428500	390666.6667	1829
359	428666.6667	390666.6667	1817
360	428833.3333	390666.6667	1794
361	429000	390666.6667	1798
362	429166.6667	390666.6667	1802
363	429333.3333	390666.6667	1788
364	429500	390666.6667	1793
365	429666.6667	390666.6667	1791
366	429833.3333	390666.6667	1878
367	430000	390666.6667	1944
368	430166.6667	390666.6667	2016
369	430333.3333	390666.6667	2103
370	430500	390666.6667	2164
371	430666.6667	390666.6667	2201
372	430833.3333	390666.6667	2162
373	431000	390666.6667	2156
374	431166.6667	390666.6667	2192
375	431333.3333	390666.6667	2159
376	431500	390666.6667	2128
377	431666.6667	390666.6667	2136
378	431833.3333	390666.6667	2073
379	432000	390666.6667	1877
380	432166.6667	390666.6667	1748
381	432333.3333	390666.6667	1744
